Date,ID,Name,Rating,Tag,Commit,Note
2024/1/12,agc065_d,Not Intersect,3039,combinatorics,c8ab5779,done with Ed
2024/1/12,agc065_c,Avoid Half Sum,2369,,59d24104,
2024/1/12,agc065_b,Erase and Insert,2136,,6798221e,
2024/1/13,agc065_a,Shuffle and mod K,1688,,fbbcc3c3,
2024/1/13,CF1905F,Field Should Not Be Empty,2748,persistent_sgt,41f49bae,
2024/1/13,CF1905E,One-X,2484,,c31cd18f,
2024/1/13,CF1905D,Cyclic MEX,2052,,e004ba5f,
2024/1/13,CF1905C,Largest Subsequence,1377,,e004ba5f,
2024/1/13,CF1905B,Begginer's Zelda,1048,,e004ba5f,
2024/1/13,CF1905A,Constructive Problems,343,,e004ba5f,
2024/1/13,CF1917F,Construct Tree,2818,bitset; knapsack,73a00491,
2024/1/14,CF1919A,Wallet Exchange,280,,6e91064e,
2024/1/14,CF1919B,Plus-Minus Split,486,,6e91064e,
2024/1/14,CF1919C,Grouping Increases,1371,,6e91064e,
2024/1/14,CF1919D,01 Tree,2139,,6e91064e,
2024/1/14,CF1919E,Counting Prefixes,2737,,da88d6f7,
2024/1/14,CF1917A,Least Product,565,,1badc94e,
2024/1/14,CF1917B,Erase First or Second Letter,1042,,2acd2f06,
2024/1/15,CF1917C,Watering an Array,1722,,5b0faa38,
2024/1/15,CF1917E,Construct Matrix,2543,constructive,ffa6ad7c,
2024/1/16,CF1916H2,Matrix Rank (Hard Version),2811,linalg,149c1250,[post](https://flandre.love/zh/posts/matrix_rank/)
2024/1/19,CF1904E,Tree Queries,2687,sgt; dfs_order,a0159682,
2024/1/19,CF1906B,Button Pressing,2642,,ff9e69ef,
2024/1/19,CF1903D2,Maximum And Queries (hard version),2708,,bbeb6c72,
2024/1/20,CF1887D,Split,2688,d&c,be99d2f9,
2024/1/20,CF1903F,Babysitting,2776,2-sat,7bc4d316,
2024/1/21,CF1906L,Palindromic Parentheses,2610,constructive,dc090908,
2024/1/21,CF1912H,Hypercatapult Commute,2688,,1c19c222,
2024/1/22,CF1876D,Lexichromatography,2575,,0467663c,
2024/1/23,CF1896F,Bracket Xoring,2682,constructive,07b0c945,
2024/1/23,CF1898F,Vova Escapes the Matrix,2682,bfs,f2369d10,
2024/1/24,CF1866M,Mighty Rock Tower,2623,probabilities,7ddc725c,
2024/1/26,CF1906K,Deck-Building Game,2720,fwt,c7a70a23,
2024/1/26,CF1866I,Imagination Castle,2631,,35fd4338,
2024/1/26,CF1866L,Lihmuf Balling,2602,,294189ac,
2024/1/26,CF1815D,XOR Counting,2728,,fe4fb15a,
2024/1/26,CF1823F,Random Walk,2637,probabilities,fdb7886d,
2024/1/27,CF1895F,Fancy Arrays,2778,,e40bbf4e,
2024/1/30,CF1924A,Did We Get Everything Covered?,1529,,775ad868,
2024/1/30,CF1924B,Space Harbour,2208,,775ad868,
2024/1/30,CF1924C,Fractal Origami,2475,,775ad868,
2024/1/30,CF1874D,Jellyfish and Miku,2792,probabilities,3febe60e,
2024/1/30,CF1856E2,PermuTree (hard version),2801,bitset; knapsack,a218ec82,
2024/1/31,CF1848E,Vika and Stone Skipping,2711,,97b7e667,
